date,open,high,low,close,change_pct
2023-10-03,1664.46,1669.97,1644.63,1650.63,-1.33
2023-10-04,1651.5,1664.85,1645.98,1662.05,0.69
2023-10-05,1659.82,1663.59,1647.24,1660.11,-0.12
2023-10-06,1650.92,1686.03,1644.83,1679.16,1.15
2023-10-09,1671.81,1692.61,1669.78,1690.29,0.66
2023-10-10,1692.8,1709.43,1691.15,1699.09,0.52
2023-10-11,1703.63,1706.53,1693.38,1705.57,0.38
2023-10-12,1706.82,1708.76,1684.96,1694.54,-0.65
2023-10-13,1700.43,1705.08,1679.45,1685.93,-0.51
2023-10-16,1694.44,1707.49,1693.77,1702.37,0.98
2023-10-17,1690.77,1711.08,1689.12,1702.95,0.03
2023-10-18,1695.02,1699.09,1675.48,1679.45,-1.38
2023-10-19,1681.48,1689.12,1661.56,1664.27,-0.9
2023-10-20,1661.46,1663.97,1643.28,1643.66,-1.24
2023-10-23,1636.61,1655.76,1630.03,1640.96,-0.16
2023-10-24,1648.89,1657.02,1641.15,1651.98,0.67
2023-10-25,1645.21,1645.21,1626.26,1628.19,-1.44
2023-10-26,1622.59,1626.55,1604.98,1608.46,-1.21
2023-10-27,1614.75,1615.53,1594.83,1600.92,-0.47
2023-10-30,1611.85,1623.64,1606.43,1619.49,1.16
2023-10-31,1621.42,1630.52,1614.08,1629.93,0.64
2023-11-01,1633.32,1649.66,1630.9,1646.47,1.01
2023-11-02,1661.37,1677.9,1661.37,1677.22,1.87
2023-11-03,1686.61,1698.8,1686.22,1692.61,0.92
2023-11-06,1695.6,1697.92,1688.55,1696.18,0.21
2023-11-07,1695.98,1703.34,1691.73,1700.54,0.26
2023-11-08,1702.66,1705.08,1692.61,1702.08,0.09
2023-11-09,1704.88,1705.66,1686.03,1687.47,-0.86
2023-11-10,1695.69,1715.04,1689.8,1714.08,1.58
2023-11-13,1708.37,1716.2,1705.08,1712.23,-0.11
2023-11-14,1735.73,1750.05,1734.87,1744.92,1.91
2023-11-15,1750.92,1754.88,1745.02,1748.4,0.2
2023-11-16,1745.89,1750.92,1741.54,1749.86,0.08
2023-11-17,1750.05,1753.92,1745.89,1751.4,0.09
2023-11-20,1750.83,1768.13,1750.54,1764.85,0.77
2023-11-21,1760.49,1761.94,1755.57,1760.6,-0.24
2023-11-22,1766.3,1771.62,1762.23,1766.68,0.35
2023-11-24,1766.49,1767.85,1765.23,1767.16,0.03
2023-11-27,1764.94,1767.85,1762.43,1764.27,-0.16
2023-11-28,1761.94,1770.65,1759.91,1764.94,0.04
2023-11-29,1773.55,1778.29,1762.34,1763.97,-0.05
2023-11-30,1766.3,1771.33,1758.27,1770.74,0.38
2023-12-01,1767.16,1782.26,1765.13,1779.84,0.51
2023-12-04,1766.39,1771.62,1761.56,1770.36,-0.53
2023-12-05,1764.75,1773.84,1763.39,1769.88,-0.03
2023-12-06,1778.19,1778.48,1761.08,1762.82,-0.4
2023-12-07,1769.88,1777.9,1767.94,1775.1,0.7
2023-12-08,1771.9,1784.67,1771.42,1782.07,0.39
2023-12-11,1801.16,1810.2,1800.05,1809.82,1.56
2023-12-12,1807.4,1817.27,1803.63,1817.16,0.41
2023-12-13,1818.04,1842.89,1816.97,1841.92,1.36
2023-12-14,1848.98,1853.63,1836.22,1846.38,0.24
2023-12-15,1843.95,1848.69,1840.58,1844.24,-0.12
2023-12-18,1849.66,1857.6,1849.28,1854.12,0.54
2023-12-19,1855.76,1864.94,1855.76,1864.65,0.57
2023-12-20,1860.79,1868.62,1836.89,1837.18,-1.47
2023-12-21,1849.28,1856.05,1839.8,1855.76,1.01
2023-12-22,1859.53,1865.23,1851.02,1858.94,0.17
2023-12-26,1860.4,1870.16,1860.11,1866.59,0.41
2023-12-27,1865.62,1870.07,1863.39,1870.07,0.19
2023-12-28,1869.49,1872.1,1867.75,1869.39,-0.04
2023-12-29,1867.65,1870.36,1855.86,1864.17,-0.28
2024-01-02,1850.34,1855.86,1843.57,1852.08,-0.65
2024-01-03,1843.09,1845.69,1834.1,1835.73,-0.88
2024-01-04,1832.93,1843.86,1828.78,1830.03,-0.31
2024-01-05,1829.45,1841.35,1825.97,1831.78,0.1
2024-01-08,1833.9,1858.08,1833.03,1857.2,1.39
2024-01-09,1846.77,1858.27,1844.44,1854.31,-0.16
2024-01-10,1855.17,1867.85,1854.02,1864.56,0.55
2024-01-11,1867.37,1869.2,1846.57,1862.62,-0.1
2024-01-12,1867.94,1870.94,1857.79,1863.3,0.04
2024-01-16,1857.69,1862.82,1848.98,1856.24,-0.38
2024-01-17,1843.86,1847.44,1836.32,1845.6,-0.57
2024-01-18,1851.79,1863.3,1845.31,1860.88,0.83
2024-01-19,1865.91,1884.96,1862.82,1883.61,1.22
